region,renacyt_total,ia,poblacion_miles,renacyt_por_100k,ia_por_100k
LIMA,6056,389,11304.993,53.57,3.44
TACNA,186,24,396.18,46.95,6.06
AREQUIPA,679,110,1605.569,42.29,6.85
AMAZONAS,155,10,430.123,36.04,2.32
PUNO,404,57,1208.802,33.42,4.72
MADRE DE DIOS,65,1,197.096,32.98,0.51
LA LIBERTAD,683,41,2130.145,32.06,1.92
APURIMAC,126,14,426.626,29.53,3.28
HUANUCO,211,7,746.509,28.26,0.94
MOQUEGUA,56,7,201.129,27.84,3.48
LAMBAYEQUE,360,22,1361.554,26.44,1.62
JUNIN,349,24,1380.561,25.28,1.74
HUANCAVELICA,79,1,335.142,23.57,0.3
TUMBES,51,1,266.653,19.13,0.38
CUSCO,243,15,1398.036,17.38,1.07
LORETO,177,15,1057.592,16.74,1.42
PASCO,44,7,265.392,16.58,2.64
ANCASH,184,16,1202.171,15.31,1.33
CALLAO,185,14,1209.614,15.29,1.16
AYACUCHO,90,6,669.737,13.44,0.9
ICA,142,3,1062.346,13.37,0.28
PIURA,276,23,2149.978,12.84,1.07
UCAYALI,82,2,639.279,12.83,0.31
SAN MARTIN,101,9,945.523,10.68,0.95
CAJAMARCA,128,7,1447.707,8.84,0.48
