author_openalex,motivo,n_obras,mejor_candidato_renacyt,similitud
Daniel Díaz,ambiguo,1,"DIAZ ATAUCURI,DANIEL",0.688
Gonzalo Garcia Martinez,sin_candidato,1,"PANIZO GARCIA,GONZALO",0.659
Juan Carlos Morales Arévalo,sin_candidato,1,"MORALES GOMERO,JUAN CARLOS",0.658
Miguel González-Mendoza,sin_candidato,1,"MACHAHUA GONZALEZ,MIGUEL",0.633
Jose Rodriguez,ambiguo,1,"RAINUZZO ,JOSE LUIS RODRIGUEZ",0.583
Carlos Ramirez Vera,sin_candidato,1,"VERA RAMIREZ,OSCAR JOHN",0.581
Miguel Diaz,ambiguo,2,"MARIN DIAZ,JESUS MIGUEL",0.574
José Chávez,ambiguo,2,"CHAVEZ VERA,KERWIN JOSE",0.574
Juan Carlos Montalvan-Figueroa,sin_candidato,3,"MORALES GOMERO,JUAN CARLOS",0.542
Marco Antonio Aguirre Camacho,sin_candidato,1,"CUEVA MANCHEGO,MARCO ANTONIO",0.535
Johana Milagritos Ramírez Cerna,sin_candidato,1,"RAMIREZ CERNA,LOURDES",0.527
John E. Vargas-Muñoz,sin_candidato,1,"VARGAS URBINA,JOHN FERNAND",0.526
Luis Quiroz-Burga,sin_candidato,1,"QUIROZ TORRES,LUIS GABRIEL",0.526
Óscar Julián Cuesta Moreno,sin_candidato,1,"MORENO LOAIZA,OSCAR JESUS",0.52
Jose Luis Quiroz-Arroyo,sin_candidato,1,"PAZ IBARRA,JOSE LUIS",0.516
Daniel A. Urcia-Paredes,sin_candidato,1,"PAREDES ZEVALLOS,DANIEL LEONCIO",0.514
Juan Salvador Palacios Bett,sin_candidato,1,"PALACIOS VEGA,JUAN JOSE",0.507
Angel Manuel Olazabal Guerra,sin_candidato,1,"RAMÍREZ GUERRA,DARVIN MANUEL",0.506
paul wenceslao condori garcia,sin_candidato,1,"CONDORI CARI,LEOPOLDO WENCESLAO",0.5
Luis Alberto Pfuño Alccahuamani,sin_candidato,1,"HUAYAPA YUCRA,LUIS ALBERTO",0.5
Julio Cesar Cuenca Colchado,sin_candidato,1,"HUANCA MARIN,JULIO CESAR",0.5
Alexander Olivares,sin_candidato,1,"LANKOWSKI ,ALEXANDER",0.491
Victor Sevillano-Vega,sin_candidato,1,"VEGA ZAMBRANO,VICTOR ARLES",0.477
Xiomara Vilca,sin_candidato,1,"VILCA VILCA,ZAIDA",0.467
María Contreras,sin_candidato,1,"CONTRERAS CONTRERAS,FORTUNATO",0.462
Daniel Menendez,sin_candidato,1,"RACOCEANU ,DANIEL",0.457
Marcelo Contreras,sin_candidato,1,"CONTRERAS CONTRERAS,FORTUNATO",0.449
Javier Antiporta,sin_candidato,1,"JAVIER ALVA,JAVIER",0.431
David A. Sumire,sin_candidato,1,"RESANO RESANO,DAVID",0.425
Angelo Contreras,sin_candidato,1,"CONTRERAS CONTRERAS,FORTUNATO",0.411
Percy Huaman,sin_candidato,1,"HUAMAN HUAMAN,EYNER",0.392
Freddy Alava,sin_candidato,1,"PELAEZ PELAEZ,FREDDY",0.354
Leo Natan Paschoal,sin_candidato,2,,0.0
Joseps Andrade-Choque,sin_candidato,2,,0.0
Magda Ushiñahua-Ushiñahua,sin_candidato,1,,0.0
Unai Aguinaco-Lete,sin_candidato,1,,0.0
Joseph Fernando Ordoñez Arratia,sin_candidato,1,,0.0
Juan Ubaldo,sin_candidato,1,,0.0
Antonio Deusany de Carvalho,sin_candidato,1,,0.0
Jose Cutimbo,sin_candidato,1,,0.0
Sebastián Inga Rodríguez,sin_candidato,1,,0.0
Claudia Monzón-Alvarado,sin_candidato,1,,0.0
Kristhel J. Calderon Aedo,sin_candidato,1,,0.0
Routo Terada,sin_candidato,3,,0.0
Andres Alamo,sin_candidato,1,,0.0
Lesly Bautista,sin_candidato,4,,0.0
Abraham E. Gamarra Moreno,sin_candidato,1,,0.0
Liliana Yanqui Huarocc,sin_candidato,1,,0.0
Cesar Supanta,sin_candidato,1,,0.0
Lida Leon,sin_candidato,1,,0.0
Pedro Infantes-Rivera,sin_candidato,1,,0.0
Andis Draguns,sin_candidato,1,,0.0
Marcos L.S. Oliveira,sin_candidato,2,,0.0
Angelo Meza,sin_candidato,1,,0.0
Mônica Heilbron,sin_candidato,1,,0.0
Nadia L. Quispe Siancas,sin_candidato,1,,0.0
Anthony Wainer Cachay-Guivin,sin_candidato,1,,0.0
Alessa Veiga Dziedzic,sin_candidato,1,,0.0
Mingjian Zhu,sin_candidato,1,,0.0
Marcelo de Souza Lauretto,sin_candidato,2,,0.0
Jhon A. Huaringa Roldan,sin_candidato,1,,0.0
Marcos V. M. Silva,sin_candidato,1,,0.0
Guillermo Sandoval,sin_candidato,1,,0.0
Lucio Wilfredo Olórtiga-Cóndor,sin_candidato,1,,0.0
Casanova-Perez Ra,sin_candidato,1,,0.0
Mabel Tesillo,sin_candidato,1,,0.0
M H Green Jonathan,sin_candidato,1,,0.0
Diego Luyo,sin_candidato,1,,0.0
Angie Flor Alvarez-Apaza,sin_candidato,1,,0.0
Julius Rocca,sin_candidato,1,,0.0
Jean‐Paul Ampuero,sin_candidato,1,,0.0
Peter Picon Zegarra,sin_candidato,1,,0.0
Daniela Lozano,sin_candidato,1,,0.0
Giuliana Vanessa Uribe Godoy,sin_candidato,1,,0.0
Claudio Isaias Huancahuire Bravo,sin_candidato,1,,0.0
Homar Santillan Gomez,sin_candidato,1,,0.0
Mayly Chesca Orellana Vasquez,sin_candidato,1,,0.0
Jackeline Almeida Fonseca,sin_candidato,1,,0.0
Geofery Luntsi,sin_candidato,1,,0.0
Guillermo Miranda Arosemena,sin_candidato,1,,0.0
Paulo Pirozelli,sin_candidato,1,,0.0
Ronald Uriol,sin_candidato,1,,0.0
Alexis J. Casusol,sin_candidato,1,,0.0
Gustavo Kuratomi,sin_candidato,1,,0.0
Dany Cajas,sin_candidato,2,,0.0
Solange Oliveira Rezende,sin_candidato,3,,0.0
Leonela Rojas-Portilla,sin_candidato,1,,0.0
Enzo Puente-Custodio,sin_candidato,1,,0.0
Kelly Rosa Braghetto,sin_candidato,1,,0.0
Kevin Espinoza,sin_candidato,1,,0.0
Gino Esaul Salguero Contreras,sin_candidato,1,,0.0
Fabiola Cieza Romero,sin_candidato,1,,0.0
Fauzia Albertin,sin_candidato,1,,0.0
Naomy Rivas,sin_candidato,1,,0.0
Yuri Galvez-Gastelu,sin_candidato,1,,0.0
Geraldine Yupanqui Fernandez,sin_candidato,1,,0.0
Carol Francia Rocha,sin_candidato,1,,0.0
Gianmarco Humpiri,sin_candidato,1,,0.0
Mauricio Daniel Sifuentes Llatas,sin_candidato,1,,0.0
Juan M. Llano-Barsaya,sin_candidato,1,,0.0
