CODIGO_RENACYT,author_id,author_name,orcid,topic_principal,subfield_principal,institucion_principal,tipo_institucion,confianza_match,INVESTIGADOR,sexo,rango_edad,nivel,nivel_orden,condicion,REGLAMENTO,anio_calificacion,region,macrozona,pais,n_obras_ia,citas_ia,primer_anio_ia,ultimo_anio_ia,institucion,sector,especialidad
P0000083,https://openalex.org/A5081909500,José Segovia-Juárez,https://orcid.org/0000-0002-3332-5886,Evolutionary Algorithms and Applications,Artificial Intelligence,Universidad Tecnológica de Los Andes,education,alta,"SEGOVIA JUAREZ,JOSE LUIS",Masculino,60 a 69,V,5.0,Activo,Reglamento_2021,2023.0,APURIMAC,Sur andino (Altiplano),PERÚ,1,0,2023,2023,Universidad Tecnológica de Los Andes,Privada,Optimización y metaheurísticas
P0000098,https://openalex.org/A5084039227,Mirko Zimic,https://orcid.org/0000-0002-7203-8847,Digital Imaging for Blood Diseases,Computer Vision and Pattern Recognition,Universidad Peruana Cayetano Heredia,education,media,"ZIMIC PERALTA,MIRKO JUAN",Masculino,50 a 59,Distinguido,0.0,Activo,Reglamento_2021,2023.0,LIMA,Lima y Callao,PERÚ,1,33,2017,2017,Universidad Peruana Cayetano Heredia,Privada,IA en salud
P0000099,https://openalex.org/A5029985123,Néstor Mamani-Macedo,https://orcid.org/0000-0001-8406-0235,Multi-Agent Systems and Negotiation,Artificial Intelligence,Peruvian University of Applied Sciences|National University of San Marcos,education|education,alta,"MAMANI MACEDO,NESTOR ADOLFO",Masculino,60 a 69,VII,7.0,Activo,Reglamento_2021,2024.0,CALLAO,Lima y Callao,PERÚ,1,1,2020,2020,Peruvian University of Applied Sciences|National University of San Marcos,Otro / no clasificado,IA aplicada (otros dominios)
P0000176,https://openalex.org/A5074450364,Luis Vilcahuamán,https://orcid.org/0000-0002-7291-101X,Context-Aware Activity Recognition Systems,Computer Vision and Pattern Recognition,Pontificia Universidad Católica del Perú,education,media,"VILCAHUAMAN CAJACURI,LUIS ALBERTO",Masculino,60 a 69,V,5.0,Activo,Reglamento_2021,2023.0,LIMA,Lima y Callao,PERÚ,1,4,2017,2017,Pontificia Universidad Católica del Perú,Privada,Visión computacional
P0000187,https://openalex.org/A5023001651,Bertha Ulloa Rubio,https://orcid.org/0000-0002-3438-9371,"Logic, Reasoning, and Knowledge|Cognitive Science and Mapping",Artificial Intelligence,Universidad César Vallejo,education,exacta,"ULLOA RUBIO,BERTHA",Femenino,60 a 69,VI,6.0,Activo,Reglamento_2021,2022.0,LA LIBERTAD,Otras regiones,PERÚ,2,0,2019,2019,Universidad César Vallejo,Privada,IA aplicada (otros dominios)
P0000189,https://openalex.org/A5049053102,Hernando Tavera,https://orcid.org/0000-0002-0893-3222,Seismology and Earthquake Studies,Artificial Intelligence,Instituto Geofísico del Perú,government,media,"TAVERA HUARACHE,HERNANDO JHONNY",Masculino,60 a 69,I,1.0,VIGENCIA VENCIDA,Reglamento_2018,2019.0,LIMA,Lima y Callao,PERÚ,8,44,2020,2025,Instituto Geofísico del Perú,Pública,IA aplicada (otros dominios)
P0000198,https://openalex.org/A5036007985,William Ipanaqué,https://orcid.org/0000-0003-4039-4422,Machine Learning and ELM,Artificial Intelligence,University of Piura,education,media,"IPANAQUE ALAMA,WILLIAM",Masculino,60 a 69,III,3.0,Activo,Reglamento_2021,2024.0,PIURA,Otras regiones,PERÚ,1,2,2022,2022,University of Piura,Otro / no clasificado,Aprendizaje automático (general)
P0000213,https://openalex.org/A5082013023,Eladio Ocaña,https://orcid.org/0000-0001-5960-7366,Advanced Vision and Imaging,Computer Vision and Pattern Recognition,National University of Engineering,education,media,"OCAÑA ANAYA,ELADIO TEOFILO",Masculino,50 a 59,III,3.0,Activo,Reglamento_2021,2023.0,LIMA,Lima y Callao,PERÚ,1,0,2019,2019,Universidad Nacional de Ingeniería,Pública,Visión computacional
P0000274,https://openalex.org/A5027699159,Rubén Acosta,https://orcid.org/0000-0003-3470-7277,Context-Aware Activity Recognition Systems,Computer Vision and Pattern Recognition,National University of Engineering,education,media,"ACOSTA JACINTO,RUBEN EUSEBIO",Masculino,50 a 59,VII,7.0,Activo,Reglamento_2021,2023.0,LIMA,Lima y Callao,PERÚ,1,3,2021,2021,Universidad Nacional de Ingeniería,Pública,Visión computacional
P0000275,https://openalex.org/A5042370952,Ricardo Yauri,https://orcid.org/0000-0001-9884-9317,AI in Service Interactions|Context-Aware Activity Recognition Systems|Advanced Neural Network Applications,Computer Vision and Pattern Recognition,National University of San Marcos,education,media,"YAURI RODRIGUEZ,RICARDO",Masculino,40 a 49,IV,4.0,Activo,Reglamento_2021,2024.0,LIMA,Lima y Callao,PERÚ,5,16,2021,2026,Universidad Nacional Mayor de San Marcos,Pública,IA aplicada (otros dominios)
